SEQUENCE,ENCODING
eu,4325381
target,4325381
unite,4325482
nation,4325482
framework,4325482
convention,4325482
climate,4325482
change,4325482
ante,4325484
post,4325484
thermochemical,4325511
conversion,4325511
chemical,4325511
conversion,4325511
biochemical,4325511
conversion,4325511
biochar,4325532
fairly,4325532
term,4325532
ancient,4325532
tool,4325532
porou,4325532
solid,4325532
material,4325532
produce,4325532
from,4325532
treatment,4325532
feedstock,4325532
temperature,4325532
utilization,4325501
eu,4456453
target,4456453
energy,4456468
from,4456468
waste,4456468
production,4456468
storage,4456468
tidal,4456661
stream,4456661
barrage,4456661
tidal,4456661
lagoon,4456661
definition,4456460
escherichium,4456781
coli,4456781
coli,4456781
coli,4456781
pongamium,4456784
pinnatum,4456784
jatropha,4456744
camelina,4456794
desalinization,4456852
desalinization,4456852
eu,4587526
target,4587526
consumerismaltering,4587535
concept,4587535
action,4587535
quest,4587536
circular,4587536
economy,4587536
final,4587536
definition,4587536
scientific,4587536
perspective,4587536
limit,4587563
biodiversity,4587563
reduction,4587564
total,4587564
annual,4587564
greenhouse,4587564
emission,4587564
vitro,4587684
pace,4587602
quality,4587541
eu,4718596
target,4718596
ensure,4718617
viable,4718617
farm,4718617
income,4718617
increase,4718621
competitivenes,4718621
role,4718621
productivity,4718621
farmer,4718623
position,4718623
value,4718623
chain,4718623
agriculture,4718625
climate,4718625
mitigation,4718625
efficient,4718627
soil,4718627
management,4718627
biodiversity,4718629
farm,4718629
landscape,4718629
structural,4718631
change,4718631
generational,4718631
renewal,4718631
growth,4718633
rural,4718633
area,4718633
drive,4718637
simplification,4718637
bacillu,4718768
thuringiensi,4718768
chrysanthemum,4718768
cinerariifolium,4718768
azadirachtum,4718768
indica,4718768
clearly,4849677
define,4849677
geographical,4849677
space,4849677
recognize,4849677
dedicate,4849677
manage,4849677
through,4849677
legal,4849677
other,4849677
effective,4849677
mean,4849677
achieve,4849677
longterm,4849677
conservation,4849677
nature,4849677
with,4849677
associate,4849677
ecosystem,4849677
service,4849677
cultural,4849677
value,4849677
strengthen,4849691
eu,4849691
legal,4849691
framework,4849691
nature,4849691
restoration,4849691
bring,4849695
nature,4849695
back,4849695
agricultural,4849695
land,4849695
address,4849697
land,4849697
take,4849697
restore,4849697
soil,4849697
ecosystem,4849697
increase,4849699
quantity,4849699
forest,4849699
improve,4849699
their,4849699
health,4849699
resilience,4849699
winwin,4849704
solution,4849704
energy,4849704
generation,4849704
restore,4849706
good,4849706
environmental,4849706
statu,4849706
marine,4849706
ecosystem,4849706
restore,4849708
freshwater,4849708
ecosystem,4849708
green,4849710
urban,4849710
periurban,4849710
area,4849710
reduce,4849712
pollution,4849712
address,4849714
invasive,4849714
alien,4849714
specie,4849714
busines,4849743
biodiversity,4849743
investment,4849745
price,4849745
taxation,4849745
measure,4849747
integrate,4849747
value,4849747
nature,4849747
improve,4849749
knowledge,4849749
education,4849749
skill,4849749
table,4849761
eu,4849764
policy,4849764
instrument,4849764
solve,4849793
conflict,4849793
between,4849793
agriculture,4849793
biodiversity,4849793
conservation,4849793
situ,4849823
situ,4849823
situ,4849823
biodiversity,4849835
conservation,4849835
knowledge,4849835
synthesi,4849835
analysi,4849835
biodiversity,4849835
conservation,4849835
measure,4849835
highlight,4849835
relevant,4849835
eu,4849835
policy,4849835
project,4849835
initiative,4849835
peerj,4849840
eu,4980743
target,4980743
2030,4980744
agenda,4980744
sustainable,4980744
development,4980744
eu,4980759
action,4980759
plan,4980759
toward,4980759
zero,4980759
pollution,4980759
water,4980759
soil,4980759
eu,4980759
action,4980759
plan,4980759
toward,4980759
zero,4980759
pollution,4980759
water,4980759
soil,4980759
eutrophication,4980773
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
situ,4980948
phytoremediation,4980949
